method,n_images,runtime_s,category
CLIP,10,0.3082296848297119,zipper
CLIP,20,0.6292362213134766,zipper
CLIP,50,1.3545639514923096,zipper
DINO,10,3.8917007446289062,zipper
DINO,20,8.04839563369751,zipper
DINO,50,20.815446853637695,zipper
Hybrid,10,1.1656146049499512,zipper
Hybrid,20,2.9980878829956055,zipper
Hybrid,50,14.122403860092163,zipper
