method,n_images,runtime_s,category
CLIP,10,0.4096710681915283,pill
CLIP,20,0.78299880027771,pill
CLIP,50,1.97707200050354,pill
DINO,10,3.9790992736816406,pill
DINO,20,8.208088636398315,pill
DINO,50,20.459982872009277,pill
Hybrid,10,1.8967645168304443,pill
Hybrid,20,2.5726239681243896,pill
Hybrid,50,9.302985429763794,pill
