method,n_images,runtime_s,category
CLIP,10,0.6143641471862793,wood
CLIP,20,1.2893259525299072,wood
CLIP,50,3.1666297912597656,wood
DINO,10,4.559524774551392,wood
DINO,20,9.315019845962524,wood
DINO,50,22.403958797454834,wood
Hybrid,10,5.0385870933532715,wood
Hybrid,20,9.326923847198486,wood
Hybrid,50,16.670063734054565,wood
