method,n_images,runtime_s,category
CLIP,10,0.5371115207672119,leather
CLIP,20,1.0430006980895996,leather
CLIP,50,2.508345127105713,leather
DINO,10,4.137753009796143,leather
DINO,20,9.309701442718506,leather
DINO,50,22.420925855636597,leather
Hybrid,10,4.588527679443359,leather
Hybrid,20,8.94838285446167,leather
Hybrid,50,22.020442962646484,leather
