method,n_images,runtime_s,category
CLIP,10,0.6396565437316895,capsule
CLIP,20,1.2113511562347412,capsule
CLIP,50,3.1443731784820557,capsule
DINO,10,4.685018301010132,capsule
DINO,20,9.302457571029663,capsule
DINO,50,22.510629177093506,capsule
Hybrid,10,2.1626155376434326,capsule
Hybrid,20,3.464411735534668,capsule
Hybrid,50,10.06758427619934,capsule
