method,n_images,runtime_s,category
CLIP,10,0.5788631439208984,cable
CLIP,20,1.092235803604126,cable
CLIP,50,2.7607662677764893,cable
DINO,10,4.11640191078186,cable
DINO,20,8.627912282943726,cable
DINO,50,21.84258198738098,cable
Hybrid,10,1.7009949684143066,cable
Hybrid,20,5.275095701217651,cable
Hybrid,50,10.014548301696777,cable
