method,n_images,runtime_s,category
CLIP,10,0.4768998622894287,toothbrush
CLIP,20,0.9621074199676514,toothbrush
DINO,10,4.125191688537598,toothbrush
DINO,20,8.712821245193481,toothbrush
Hybrid,10,0.994225263595581,toothbrush
Hybrid,20,3.6265275478363037,toothbrush
